company_ticker,event_date
A,5/18/2010
A,8/17/2010
A,2/15/2011
A,8/16/2011
A,11/16/2011
A,2/16/2012
A,5/15/2012
A,8/16/2012
A,11/20/2012
A,2/15/2013
A,5/15/2013
A,8/15/2013
A,11/15/2013
A,2/14/2014
A,5/15/2014
A,8/15/2014
A,11/18/2014
A,2/18/2015
A,5/19/2015
A,8/18/2015
A,11/17/2015
A,2/17/2016
A,5/17/2016
A,8/18/2016
A,11/16/2016
A,2/15/2017
A,5/23/2017
A,8/16/2017
A,11/21/2017
A,2/21/2019
A,5/15/2019
A,8/15/2019
A,11/26/2019
A,2/19/2020
A,5/22/2020
A,8/19/2020
AAP,2/19/2010
AAP,5/21/2010
AAP,8/13/2010
AAP,11/12/2010
AAP,2/11/2011
AAP,5/20/2011
AAP,8/12/2011
AAP,11/11/2011
AAP,2/17/2012
AAP,5/18/2012
AAP,8/10/2012
AAP,11/09/2012
AAP,2/08/2013
AAP,5/24/2013
AAP,8/09/2013
AAP,11/01/2013
AAP,2/07/2014
AAP,5/16/2014
AAP,8/15/2014
AAP,11/07/2014
AAP,2/13/2015
AAP,5/22/2015
AAP,8/14/2015
AAP,11/13/2015
AAP,2/12/2016
AAP,5/20/2016
AAP,8/17/2016
AAP,11/15/2016
AAP,2/22/2017
AAP,5/25/2017
AAP,8/16/2017
AAP,11/15/2017
AAP,2/20/2019
AAP,5/23/2019
AAP,8/14/2019
AAP,11/13/2019
AAP,2/19/2020
AAP,5/20/2020
AAP,8/19/2020
AAP,11/11/2020
ABBV,4/24/2015
ABBV,4/29/2016
ABBV,4/28/2017
ABC,1/27/2010
ABC,4/23/2010
ABC,7/28/2010
ABC,11/03/2010
ABC,4/29/2011
ABC,7/29/2011
ABC,11/02/2011
ABC,1/27/2012
ABC,4/27/2012
ABC,7/27/2012
ABC,11/02/2012
ABC,1/25/2013
ABC,4/26/2013
ABC,7/25/2013
ABC,11/01/2013
ABC,1/24/2014
ABC,4/25/2014
ABC,7/25/2014
ABC,10/31/2014
ABC,1/29/2015
ABC,5/01/2015
ABC,7/24/2015
ABC,10/30/2015
ABC,2/05/2016
ABC,5/06/2016
ABC,8/03/2016
ABC,11/03/2016
ABC,2/01/2017
ABC,5/05/2017
ABC,8/04/2017
ABC,11/03/2017
ABC,2/01/2019
ABC,5/03/2019
ABC,8/02/2019
ABC,11/08/2019
ABC,1/31/2020
ABC,5/08/2020
ABT,1/28/2010
ABT,4/22/2010
ABT,7/22/2010
ABT,10/21/2010
ABT,1/27/2011
ABT,4/21/2011
ABT,7/21/2011
ABT,10/20/2011
ABT,1/26/2012
ABT,4/19/2012
ABT,7/19/2012
ABT,10/18/2012
ABT,1/24/2013
ABT,4/18/2013
ABT,7/18/2013
ABT,10/17/2013
