doc_id,para_id,author,paragraph
10D,10D_1,Q,"Thank you [Participant] 00:00:05. We'll deidentify, so I'll remove the name from the script and give you a code. I'm really pleased that you've agreed to be - to participate in this. I've looked at your background; software industries, and now for-purpose industry is your focus."
10D,10D_10,Q,Sounds pretty good. How many boards do you sit on?
10D,10D_100,A,"For instance, a good example of that. If there is a problem - if there's a problem in [long pause] - so the latest royal inquiry. It does have an impact on for-purpose organisation because everyone immediately goes, governance, we've got to tighten up or we've got to go back and look at - you sort of go, hang on a second. Let's just put that to one side. Let's just have a look at how we're running and what's the culture like before you actually - so there are impacts. Or the market's tanked in the US and you've got this bequest fund [inaudible] 00:29:09 it's going to impact our ability to perform over there. There are impacts, but it's just more at the margin in some of those organisations."
10D,10D_101,Q,"So choice of the bang - sorry, the board's decisions about its sources of capital is really key to managing -"
10D,10D_102,A,"For for profit organisations, yep."
10D,10D_103,Q,"For for profit. Yep. For managing diversity, it would seem."
10D,10D_104,A,"Well it can be. It's not key, but it can have an impact on - because [long pause] that constant tension between long and short term is there and it's not for everyone. And because business is moving faster than it ever has - I mean, I don't know how people can work in - I couldn't work in a business today. Just the amount of information and data flowing; it becomes really difficult to - it's very difficult, I think, to get that - to attract the right people who can deal with that. And if you – so, for example -"
10D,10D_105,A,"It just comes back to the [very start] 00:30:22 of our conversation. If you have been trained to think like this and you've got a bit broader in your thinking as you've got a bit older, as it turns out, had some experience, but, in the meantime, the world's like this, how do you deal with that? Whereas actually, if you've grown up in that space - so again, it's back to beyond gender. Age diversity - even just what you've experienced - and you see a little bit more of it, but it's still couched very much in this gender conversation. Which is interesting, but misses the point completely, in my view."
10D,10D_106,Q,"You're not alone. This is coming out - this is a theme coming out. So it's good. Do you think that there's - you do, I think. There's a situational context that might cause you to change your importance rating for high uncertainty - for diversity. So in for profit situations where short term decision making is - a short term frame is being imposed by influential capital institutions -"
10D,10D_107,A,"Potentially, yeah."
10D,10D_108,Q,"- that could be a situation that would put pressure - so that tension between short and long term thinking, priorities - because of the capital - if I'm understanding it -"
10D,10D_109,A,"Yeah. It could. For example, if BHP turned up tomorrow and said, we've got a 25-year-old - we'll use my example, [inaudible] 00:31:56. Twenty-five year old, Chinese-born – first-generation, Chinese-born, 25-year-old blah-blah-blah with this experience [inaudible] 00:32:04 - they go, well hang on, that's ridiculous. There'd be a massive backlash. You've got no experience. She mightn't in the vein that you're thinking, which is all about short term profits and stuff. But actually, in longer term, helping the board think through how - and BHP's probably not an example. Banks [are] probably a better example actually, now I think about it - Westpac. They'd still - there'd be a massive backlash. No experience, blah-blah-blah. What are you doing? So they just wouldn't do it."
10D,10D_11,A,A number. But it's -
10D,10D_110,Q,"Yeah, yeah. Irresponsible."
10D,10D_111,A,"Yeah, irresponsible. Even someone who's - you see some women with good backgrounds and they're in their 40s and they're like, oh well, you know, what's she - but it's okay. You've ticked the box so that's - it's like - because their focus is, you know what? We've got to have good bankers. Which is right. But you also have diversity because, basically, banking's dealing with a bunch of consumers as well. And if you've got no one around the board who's actually used an app, who understands WeChat or any of that sort of stuff - which most won't. Or go and - well we'll learn, because we'll go on a study tour to the west coast of the US and we'll charge them - like please, it's just ridiculous."
10D,10D_112,Q,It's a no-brainer. Yeah.
10D,10D_113,A,"So it does have an impact, in my view. [Overtalking] 00:33:24."
10D,10D_114,Q,Yep. [Inaudible] 00:33:28. Do you think there's a particular kind of diversity that matters more than others? Or do you think that's situation dependent?
10D,10D_115,A,"Yeah, it's very much situation dependent."
10D,10D_116,Q,And you've given me an example of the young woman at the school. Because she's [overtalking] 00:33:51 -
10D,10D_117,A,Yeah. It's situation dependent on so many different things.
10D,10D_118,Q,[Inaudible] 00:33:54.
10D,10D_119,A,Well how is the board performing today? What difference is that person you add going to make in terms of the way that board works? What things are missing? What's the dynamic with the CEO and the management team? What particular challenges is that organisation facing or going to face? There's just so many different things that - are they B2B versus B2C? Are they B2B2C? What are they? There's just so many things. So that's why I look at it as you've just got to approach it on a case by case basis. Which is why I'm interested to see how can you come up with model? I struggle [overtalking] 00:34:39 -
10D,10D_12,Q,More than five?
10D,10D_120,Q,Yeah. A very good concept of trying to come up with a model -
10D,10D_121,A,- with a model. It doesn't make sense to me.
10D,10D_122,Q,"It doesn't matter. Models can be pretty organic. Ideas of models can be very schematic; a bit like a philosophical concept. You know, three words [laugh] with interesting - I don't know. I don't know. It obviously can't be a causal model."
10D,10D_123,A,I think they'd struggle.
10D,10D_124,Q,"Because of - yeah, there's too many factors and uncertainties."
10D,10D_125,A,"Well you could. But you run the risk of coming up with the wrong answer. Because you've targeted that because that's what the data seems to be saying, but what [inaudible] [overtalking] 00:35:15 all that stuff -"
