,doc_id,para_id,author,paragraph,emotion_profile,emotion_keywords
0,10D,10D_1,Q,"Thank you [Participant] 00:00:05. We'll deidentify, so I'll remove the name from the script and give you a code. I'm really pleased that you've agreed to be - to participate in this. I've looked at your background; software industries, and now for-purpose industry is your focus.","{'sadness': 0, 'anger': 0, 'anticipation': 0, 'fear': 0, 'disgust': 0, 'surprise': 0.005, 'joy': 0.288, 'trust': 0.748}","['Thank', 'pleased', ""I'm"", ""I've"", 'give']"
1,10D,10D_10,Q,Sounds pretty good. How many boards do you sit on?,"{'sadness': 0, 'anger': 0, 'fear': 0, 'anticipation': 0.008, 'disgust': 0.011, 'joy': 0.272, 'trust': 0.32, 'surprise': 0.429}","['good.', 'pretty', 'How', 'on?', 'you']"
2,10D,10D_100,A,"For instance, a good example of that. If there is a problem - if there's a problem in [long pause] - so the latest royal inquiry. It does have an impact on for-purpose organisation because everyone immediately goes, governance, we've got to tighten up or we've got to go back and look at - you sort of go, hang on a second. Let's just put that to one side. Let's just have a look at how we're running and what's the culture like before you actually - so there are impacts. Or the market's tanked in the US and you've got this bequest fund [inaudible] 00:29:09 it's going to impact our ability to perform over there. There are impacts, but it's just more at the margin in some of those organisations.","{'anger': 0, 'sadness': 0.005, 'disgust': 0.024, 'fear': 0.029, 'surprise': 0.042, 'trust': 0.18700000000000003, 'joy': 0.20500000000000002, 'anticipation': 0.5469999999999999}","['if', 'If', 'is', 'does', 'so']"
3,10D,10D_101,Q,"So choice of the bang - sorry, the board's decisions about its sources of capital is really key to managing -","{'anticipation': 0.002, 'fear': 0.033, 'anger': 0.039, 'joy': 0.056, 'surprise': 0.105, 'disgust': 0.15500000000000003, 'trust': 0.25, 'sadness': 0.401}","['sorry,', 'choice', 'decisions', 'So', 'sources']"
4,10D,10D_102,A,"For for profit organisations, yep.","{'sadness': 0, 'anger': 0, 'fear': 0, 'surprise': 0, 'disgust': 0, 'anticipation': 0.011, 'joy': 0.147, 'trust': 0.883}","['yep.', 'profit', 'organisations,', 'for', 'For']"
5,10D,10D_103,Q,"For for profit. Yep. For managing diversity, it would seem.","{'sadness': 0, 'anger': 0, 'fear': 0, 'surprise': 0, 'anticipation': 0.011, 'disgust': 0.017, 'joy': 0.138, 'trust': 0.876}","['Yep.', 'diversity,', 'profit.', 'seem.', 'it']"
6,10D,10D_104,A,"Well it can be. It's not key, but it can have an impact on - because [long pause] that constant tension between long and short term is there and it's not for everyone. And because business is moving faster than it ever has - I mean, I don't know how people can work in - I couldn't work in a business today. Just the amount of information and data flowing; it becomes really difficult to - it's very difficult, I think, to get that - to attract the right people who can deal with that. And if you – so, for example -","{'anger': 0, 'joy': 0.037, 'fear': 0.054, 'anticipation': 0.10400000000000001, 'trust': 0.125, 'sadness': 0.167, 'surprise': 0.168, 'disgust': 0.387}","[""couldn't"", 'difficult', 'not', 'not', 'but']"
7,10D,10D_105,A,"It just comes back to the [very start] 00:30:22 of our conversation. If you have been trained to think like this and you've got a bit broader in your thinking as you've got a bit older, as it turns out, had some experience, but, in the meantime, the world's like this, how do you deal with that? Whereas actually, if you've grown up in that space - so again, it's back to beyond gender. Age diversity - even just what you've experienced - and you see a little bit more of it, but it's still couched very much in this gender conversation. Which is interesting, but misses the point completely, in my view.","{'sadness': 0, 'anger': 0, 'surprise': 0, 'disgust': 0.002, 'fear': 0.027, 'joy': 0.269, 'trust': 0.357, 'anticipation': 0.38499999999999995}","['so', 'is', ""it's"", ""it's"", 'if']"
8,10D,10D_106,Q,"You're not alone. This is coming out - this is a theme coming out. So it's good. Do you think that there's - you do, I think. There's a situational context that might cause you to change your importance rating for high uncertainty - for diversity. So in for profit situations where short term decision making is - a short term frame is being imposed by influential capital institutions -","{'sadness': 0, 'fear': 0, 'surprise': 0, 'disgust': 0, 'anger': 0.02, 'anticipation': 0.029, 'joy': 0.15699999999999997, 'trust': 1.2348000000000001}","[""it's"", ""There's"", ""there's"", 'diversity.', 'situational']"
9,10D,10D_107,A,"Potentially, yeah.","{'sadness': 0, 'anger': 0, 'fear': 0, 'surprise': 0, 'disgust': 0, 'joy': 0.028, 'trust': 0.378, 'anticipation': 0.634}","['Potentially,', 'yeah.']"
