,Unnamed: 0,doc_id,para_id,sentence_id,author,sentence,sadness,anger,anticipation,fear,surprise,disgust,joy,trust
0,0,10D,10D_1,10D_1_sent0,Q,Thank you [Participant] 00:00:05,0,0,0,0,0,0,1,1
1,1,10D,10D_1,10D_1_sent1,Q," We'll deidentify, so I'll remove the name from the script and give you a code",1,1,1,0,1,1,1,1
2,2,10D,10D_1,10D_1_sent2,Q, I'm really pleased that you've agreed to be - to participate in this,0,0,0,0,0,0,1,1
3,3,10D,10D_1,10D_1_sent3,Q," I've looked at your background; software industries, and now for-purpose industry is your focus",0,1,1,0,0,1,1,1
4,4,10D,10D_10,10D_10_sent0,Q,Sounds pretty good,0,1,0,0,1,0,1,1
5,5,10D,10D_10,10D_10_sent1,Q, How many boards do you sit on?,1,0,1,1,1,1,1,1
6,6,10D,10D_100,10D_100_sent0,A,"For instance, a good example of that",0,1,1,0,1,1,1,1
7,7,10D,10D_100,10D_100_sent1,A, If there is a problem - if there's a problem in [long pause] - so the latest royal inquiry,1,0,1,1,1,1,1,1
8,8,10D,10D_100,10D_100_sent2,A," It does have an impact on for-purpose organisation because everyone immediately goes, governance, we've got to tighten up or we've got to go back and look at - you sort of go, hang on a second",0,0,1,1,1,1,1,1
9,9,10D,10D_100,10D_100_sent3,A, Let's just put that to one side,0,1,1,0,1,1,1,1
10,10,10D,10D_100,10D_100_sent4,A, Let's just have a look at how we're running and what's the culture like before you actually - so there are impacts,0,0,1,1,1,1,1,1
11,11,10D,10D_100,10D_100_sent5,A, Or the market's tanked in the US and you've got this bequest fund [inaudible] 00:29:09 it's going to impact our ability to perform over there,0,0,1,0,0,0,1,1
12,12,10D,10D_100,10D_100_sent6,A," There are impacts, but it's just more at the margin in some of those organisations",1,0,1,1,0,1,1,1
13,13,10D,10D_101,10D_101_sent0,Q,"So choice of the bang - sorry, the board's decisions about its sources of capital is really key to managing -",1,1,1,1,1,1,1,1
14,14,10D,10D_102,10D_102_sent0,A,"For for profit organisations, yep",0,0,1,0,1,1,1,1
15,15,10D,10D_103,10D_103_sent0,Q,For for profit,1,1,1,0,1,1,1,1
16,16,10D,10D_103,10D_103_sent1,Q, Yep,0,0,1,0,0,0,1,1
17,17,10D,10D_103,10D_103_sent2,Q," For managing diversity, it would seem",0,0,1,0,0,1,1,1
18,18,10D,10D_104,10D_104_sent0,A,Well it can be,0,0,1,0,0,0,1,1
19,19,10D,10D_104,10D_104_sent1,A," It's not key, but it can have an impact on - because [long pause] that constant tension between long and short term is there and it's not for everyone",1,0,1,1,1,1,1,1
20,20,10D,10D_104,10D_104_sent2,A," And because business is moving faster than it ever has - I mean, I don't know how people can work in - I couldn't work in a business today",1,1,1,1,1,1,1,1
21,21,10D,10D_104,10D_104_sent3,A," Just the amount of information and data flowing; it becomes really difficult to - it's very difficult, I think, to get that - to attract the right people who can deal with that",1,0,1,1,1,1,1,1
22,22,10D,10D_104,10D_104_sent4,A," And if you – so, for example -",1,1,1,1,1,1,1,1
23,23,10D,10D_105,10D_105_sent0,A,It just comes back to the [very start] 00:30:22 of our conversation,0,0,1,1,1,1,1,1
24,24,10D,10D_105,10D_105_sent1,A," If you have been trained to think like this and you've got a bit broader in your thinking as you've got a bit older, as it turns out, had some experience, but, in the meantime, the world's like this, how do you deal with that? Whereas actually, if you've grown up in that space - so again, it's back to beyond gender",0,0,1,1,0,1,1,1
25,25,10D,10D_105,10D_105_sent2,A," Age diversity - even just what you've experienced - and you see a little bit more of it, but it's still couched very much in this gender conversation",0,1,1,1,1,1,1,1
26,26,10D,10D_105,10D_105_sent3,A," Which is interesting, but misses the point completely, in my view",1,1,0,0,1,1,1,1
27,27,10D,10D_106,10D_106_sent0,Q,You're not alone,1,1,1,0,1,1,1,1
28,28,10D,10D_106,10D_106_sent1,Q, This is coming out - this is a theme coming out,0,0,1,0,1,0,1,1
29,29,10D,10D_106,10D_106_sent2,Q, So it's good,0,1,0,0,1,0,1,1
30,30,10D,10D_106,10D_106_sent3,Q," Do you think that there's - you do, I think",1,0,1,1,1,1,1,1
31,31,10D,10D_106,10D_106_sent4,Q, There's a situational context that might cause you to change your importance rating for high uncertainty - for diversity,0,0,1,1,1,0,1,1
32,32,10D,10D_106,10D_106_sent5,Q, So in for profit situations where short term decision making is - a short term frame is being imposed by influential capital institutions -,1,0,1,1,1,1,1,1
33,33,10D,10D_107,10D_107_sent0,A,"Potentially, yeah",0,0,1,0,0,0,0,1
34,34,10D,10D_108,10D_108_sent0,Q,"- that could be a situation that would put pressure - so that tension between short and long term thinking, priorities - because of the capital - if I'm understanding it -",0,0,1,1,1,1,1,1
35,35,10D,10D_109,10D_109_sent0,A,Yeah,0,0,0,0,0,0,1,1
36,36,10D,10D_109,10D_109_sent1,A, It could,0,0,1,0,0,0,1,1
